Game Name,16 by 9 image,Boxart image
Grand Theft Auto: Vice City The Next Gen Edition,,https://image.nostr.build/b205cb6a70a99b1192e5999b8789a28c3f68ad1bf444b3865b22ed6a90a63118.jpg
The Elder Scrolls II: Daggerfall Unity,,https://image.nostr.build/c4865a93fa30461efb8a1b7c65eabb606f7cf3ebf18900fcb6aa8d486d601448.jpg
The Elder Scrolls: Skyblivion,,https://image.nostr.build/5d8e10101b87db947d84d7ae68fe6c410f11d6b760cacdf7c905307095969751.jpg
