Game Name,16 by 9 image,Boxart image
Fire Emblem Engage,,https://image.nostr.build/f9f883f88c7d1abc38b98b0aa2394684e52e10171b621011f348034ab9973476.jpg
Super Smash Bros. Ultimate,,https://image.nostr.build/82a62ca20eee9306b740ba738b37dc2af2c26705b5430491f170114a5edc6cc4.jpg
